appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10514,0 days 00:01:37.450000
normal_cluster,application_1758535431786_10461,0 days 00:07:24.328000
normal_cluster,application_1758535431786_10526,0 days 00:00:25.950000
normal_cluster,application_1758535431786_10405,0 days 00:22:58.888000
normal_cluster,application_1758535431786_10527,0 days 00:00:33.089000
normal_cluster,application_1758535431786_10495,0 days 00:03:30.678000
normal_cluster,application_1758535431786_10525,0 days 00:00:50.211000
normal_cluster,application_1758535431786_10517,0 days 00:01:45.963000
normal_cluster,application_1758535431786_10523,0 days 00:01:19.013000
normal_cluster,application_1758535431786_10529,0 days 00:00:45.962000
normal_cluster,application_1758535431786_10511,0 days 00:02:27.346000
normal_cluster,application_1758535431786_10522,0 days 00:01:35.794000
normal_cluster,application_1758535431786_10520,0 days 00:01:43.078000
normal_cluster,application_1758535431786_10531,0 days 00:00:39.763000
normal_cluster,application_1758535431786_10454,0 days 00:08:34.805000
normal_cluster,application_1758535431786_10323,0 days 00:44:24.629000
normal_cluster,application_1758535431786_10512,0 days 00:03:05.168000
normal_cluster,application_1758535431786_10534,0 days 00:00:34.438000
normal_cluster,application_1758535431786_10532,0 days 00:00:41.100000
normal_cluster,application_1758535431786_10521,0 days 00:02:26.407000
normal_cluster,application_1758535431786_10482,0 days 00:06:04.774000
normal_cluster,application_1758535431786_10543,0 days 00:00:12.799000
normal_cluster,application_1758535431786_10540,0 days 00:00:28.673000
normal_cluster,application_1758535431786_10542,0 days 00:00:22.707000
normal_cluster,application_1758535431786_10538,0 days 00:00:38.330000
normal_cluster,application_1758535431786_10545,0 days 00:00:28.853000
normal_cluster,application_1758535431786_10550,0 days 00:00:18.716000
normal_cluster,application_1758535431786_10546,0 days 00:00:30.930000
normal_cluster,application_1758535431786_10433,0 days 00:15:28.578000
normal_cluster,application_1758535431786_10533,0 days 00:01:50.326000
normal_cluster,application_1758535431786_10548,0 days 00:00:47.524000
normal_cluster,application_1758535431786_10536,0 days 00:01:29.725000
normal_cluster,application_1758535431786_10555,0 days 00:00:37.125000
normal_cluster,application_1758535431786_10547,0 days 00:00:55.067000
normal_cluster,application_1758535431786_10551,0 days 00:00:48.172000
normal_cluster,application_1758535431786_10549,0 days 00:00:50.925000
normal_cluster,application_1758535431786_10510,0 days 00:04:40.834000
